Frequency,FFT2-7Q,FFT2-10Q,FFT2-12Q,FFT2-14Q,FFT2-17Q,FFT2-20Q,FFT2-23Q,FFT2-26Q,FFT2-29Q,FFT4-10Q,FFT4-14Q,FFT4-15.5Q,FFT4-17Q,FFT4-20Q,FFT4-23Q,FFT4-26Q,FFT4-29Q,FFT8-14Q,FFT8-17Q,FFT8-20Q,FFT8-23Q,FFT8-26Q,FFT8-29Q
415.25,-3.2975,-1.7604,-1.5711,-1.0705,-0.97697,-0.77671,-0.67671,-0.67671,-0.48539,-3.8664,-1.7522,-1.4609,-1.1705,-0.88547,-0.77671,-0.6983,-0.67671,-3.8615,-1.655,-1.2704,-1.1705,-0.78298,-0.67671
421.25,-3.2983,-1.7665,-1.5756,-1.0752,-0.98047,-0.78029,-0.68029,-0.68029,-0.48756,-3.8718,-1.7597,-1.4669,-1.1752,-0.88762,-0.78029,-0.69884,-0.68029,-3.868,-1.6619,-1.2748,-1.1752,-0.7855,-0.68029
427.25,-3.2989,-1.7729,-1.5803,-1.0801,-0.98416,-0.78404,-0.68404,-0.68404,-0.48988,-3.8774,-1.7675,-1.4731,-1.1801,-0.88991,-0.78404,-0.69928,-0.68404,-3.8746,-1.6691,-1.2796,-1.1801,-0.78818,-0.68404
433.25,-3.2994,-1.7796,-1.5852,-1.0851,-0.98804,-0.78798,-0.68798,-0.68798,-0.49233,-3.8831,-1.7757,-1.4797,-1.1851,-0.89235,-0.78798,-0.69961,-0.68798,-3.8812,-1.6767,-1.2846,-1.1851,-0.79104,-0.68798
439.25,-3.2998,-1.7866,-1.5903,-1.0902,-0.99213,-0.7921,-0.6921,-0.6921,-0.49494,-3.889,-1.7841,-1.4867,-1.1902,-0.89495,-0.7921,-0.69984,-0.6921,-3.8879,-1.6847,-1.2898,-1.1902,-0.79408,-0.6921
445.25,-3.3,-1.794,-1.5956,-1.0956,-0.99643,-0.79643,-0.69643,-0.69643,-0.4977,-3.8951,-1.7928,-1.494,-1.1956,-0.8977,-0.79643,-0.69997,-0.69643,-3.8946,-1.6931,-1.2954,-1.1956,-0.7973,-0.69643
450,-3.3,-1.8,-1.6,-1.1,-1,-0.8,-0.7,-0.7,-0.5,-3.9,-1.8,-1.5,-1.2,-0.9,-0.8,-0.7,-0.7,-3.9,-1.7,-1.3,-1.2,-0.8,-0.7
451.25,-3.3,-1.8017,-1.6012,-1.1012,-1.001,-0.80097,-0.70097,-0.70097,-0.50064,-3.9013,-1.8019,-1.5017,-1.2012,-0.90063,-0.80097,-0.7,-0.70097,-3.9014,-1.7019,-1.3013,-1.2012,-0.80079,-0.70097
457.25,-3.3,-1.8104,-1.6069,-1.107,-1.0059,-0.80594,-0.70594,-0.70594,-0.50425,-3.9076,-1.8119,-1.5104,-1.2069,-0.9041,-0.80594,-0.7,-0.70594,-3.9083,-1.713,-1.3085,-1.207,-0.8062,-0.70594
463.25,-3.3,-1.8204,-1.6126,-1.1131,-1.0114,-0.81138,-0.71138,-0.71138,-0.50869,-3.9138,-1.8228,-1.5204,-1.2126,-0.90822,-0.81138,-0.7,-0.71138,-3.9151,-1.7268,-1.3174,-1.2131,-0.81409,-0.71138
469.25,-3.3,-1.8315,-1.6185,-1.1194,-1.0172,-0.81723,-0.71723,-0.71723,-0.51384,-3.9199,-1.8345,-1.5315,-1.2185,-0.91292,-0.81723,-0.7,-0.71723,-3.9219,-1.743,-1.3277,-1.2194,-0.8241,-0.71723
475.25,-3.3,-1.8435,-1.6244,-1.1258,-1.0234,-0.82341,-0.72341,-0.72341,-0.5196,-3.926,-1.8468,-1.5435,-1.2244,-0.91813,-0.82341,-0.7,-0.72341,-3.9287,-1.7611,-1.3392,-1.2258,-0.83592,-0.72341
481.25,-3.3,-1.8562,-1.6303,-1.1324,-1.0299,-0.82986,-0.72986,-0.72986,-0.52586,-3.932,-1.8597,-1.5562,-1.2303,-0.9238,-0.82986,-0.7,-0.72986,-3.9354,-1.7809,-1.3517,-1.2324,-0.84921,-0.72986
487.25,-3.3,-1.8695,-1.6363,-1.139,-1.0365,-0.8365,-0.7365,-0.7365,-0.53253,-3.938,-1.873,-1.5695,-1.2363,-0.92985,-0.8365,-0.7,-0.7365,-3.942,-1.8018,-1.3651,-1.239,-0.86363,-0.7365
493.25,-3.3,-1.8832,-1.6424,-1.1456,-1.0433,-0.84326,-0.74326,-0.74326,-0.53949,-3.944,-1.8865,-1.5832,-1.2424,-0.93622,-0.84326,-0.7,-0.74326,-3.9485,-1.8237,-1.379,-1.2456,-0.87886,-0.74326
499.25,-3.3,-1.8971,-1.6484,-1.1522,-1.0501,-0.85007,-0.75007,-0.75007,-0.54664,-3.9499,-1.9001,-1.5971,-1.2484,-0.94285,-0.85007,-0.7,-0.75007,-3.9548,-1.8459,-1.3933,-1.2522,-0.89456,-0.75007
505.25,-3.3,-1.9111,-1.6545,-1.1587,-1.0569,-0.85686,-0.75686,-0.75686,-0.55387,-3.9558,-1.9137,-1.6111,-1.2545,-0.94967,-0.85686,-0.7,-0.75686,-3.961,-1.8683,-1.4077,-1.2587,-0.91041,-0.75686
511.25,-3.3,-1.925,-1.6607,-1.1651,-1.0636,-0.86357,-0.76357,-0.76357,-0.56108,-3.9617,-1.9271,-1.625,-1.2607,-0.95661,-0.86357,-0.7,-0.76357,-3.967,-1.8904,-1.4222,-1.2651,-0.92606,-0.76357
517.25,-3.3,-1.9385,-1.6668,-1.1713,-1.0701,-0.87012,-0.77012,-0.77012,-0.56817,-3.9676,-1.9402,-1.6385,-1.2668,-0.96361,-0.87012,-0.7,-0.77012,-3.9728,-1.9117,-1.4363,-1.2713,-0.94119,-0.77012
523.25,-3.3,-1.9516,-1.6729,-1.1773,-1.0764,-0.87644,-0.77644,-0.77644,-0.57502,-3.9735,-1.9529,-1.6516,-1.2729,-0.97061,-0.87644,-0.7,-0.77644,-3.9784,-1.9321,-1.45,-1.2773,-0.95546,-0.77644
529.25,-3.3,-1.9641,-1.679,-1.183,-1.0825,-0.88246,-0.78246,-0.78246,-0.58154,-3.9794,-1.9649,-1.6641,-1.279,-0.97753,-0.88246,-0.7,-0.78246,-3.9837,-1.951,-1.4631,-1.283,-0.96855,-0.78246
535.25,-3.3,-1.9758,-1.6851,-1.1884,-1.0881,-0.88811,-0.78811,-0.78811,-0.58761,-3.9853,-1.9762,-1.6758,-1.2851,-0.98431,-0.88811,-0.7,-0.78811,-3.9888,-1.9681,-1.4752,-1.2884,-0.98012,-0.78811
541.25,-3.3,-1.9865,-1.6912,-1.1934,-1.0933,-0.89333,-0.79333,-0.79333,-0.59314,-3.9913,-1.9867,-1.6865,-1.2912,-0.9909,-0.89333,-0.7,-0.79333,-3.9936,-1.983,-1.4863,-1.2934,-0.98983,-0.79333
547.25,-3.3,-1.996,-1.6972,-1.198,-1.098,-0.89803,-0.79803,-0.79803,-0.59801,-3.9973,-1.9961,-1.696,-1.2972,-0.99721,-0.89803,-0.7,-0.79803,-3.9981,-1.9953,-1.496,-1.298,-0.99737,-0.79803
550,-3.3,-2,-1.7,-1.2,-1.1,-0.9,-0.8,-0.8,-0.6,-4,-2,-1.7,-1.3,-1,-0.9,-0.7,-0.8,-4,-2,-1.5,-1.3,-1,-0.8
553.25,-3.3001,-2.0045,-1.7033,-1.2022,-1.1022,-0.90222,-0.80222,-0.80222,-0.60221,-4.0033,-2.0044,-1.7044,-1.3033,-1.0033,-0.90222,-0.70004,-0.80221,-4.0023,-2.0051,-1.5045,-1.3022,-1.0027,-0.80222
559.25,-3.3006,-2.0125,-1.7093,-1.2062,-1.1062,-0.90619,-0.80619,-0.80619,-0.60612,-4.0097,-2.0124,-1.7124,-1.3093,-1.0093,-0.90619,-0.70029,-0.80612,-4.0064,-2.0141,-1.5125,-1.3062,-1.0076,-0.80619
565.25,-3.3017,-2.0204,-1.7154,-1.21,-1.11,-0.90998,-0.80998,-0.80998,-0.6098,-4.0163,-2.02,-1.72,-1.3154,-1.0154,-0.90998,-0.70079,-0.8098,-4.0107,-2.0226,-1.5204,-1.31,-1.0121,-0.80998
571.25,-3.3031,-2.028,-1.7214,-1.2136,-1.1136,-0.91361,-0.81361,-0.81361,-0.61327,-4.0233,-2.0272,-1.7272,-1.3214,-1.0214,-0.91361,-0.70152,-0.81327,-4.0149,-2.0307,-1.528,-1.3136,-1.0164,-0.81361
577.25,-3.3051,-2.0354,-1.7276,-1.2171,-1.1171,-0.91709,-0.81709,-0.81709,-0.61656,-4.0305,-2.0342,-1.7342,-1.3276,-1.0276,-0.91709,-0.70248,-0.81656,-4.0191,-2.0383,-1.5354,-1.3171,-1.0204,-0.81709
583.25,-3.3074,-2.0426,-1.7337,-1.2204,-1.1204,-0.92043,-0.82043,-0.82043,-0.61966,-4.0379,-2.0409,-1.7409,-1.3337,-1.0337,-0.92043,-0.70366,-0.81966,-4.0234,-2.0456,-1.5426,-1.3204,-1.0242,-0.82043
589.25,-3.31,-2.0496,-1.7399,-1.2236,-1.1236,-0.92364,-0.82364,-0.82364,-0.62261,-4.0454,-2.0473,-1.7473,-1.3399,-1.0399,-0.92364,-0.70506,-0.82261,-4.0276,-2.0525,-1.5496,-1.3236,-1.0278,-0.82364
595.25,-3.313,-2.0564,-1.746,-1.2267,-1.1267,-0.92674,-0.82674,-0.82674,-0.62542,-4.0532,-2.0535,-1.7535,-1.346,-1.046,-0.92674,-0.70666,-0.82542,-4.0318,-2.059,-1.5564,-1.3267,-1.0312,-0.82674
601.25,-3.3163,-2.0631,-1.7522,-1.2297,-1.1297,-0.92973,-0.82973,-0.82973,-0.62809,-4.061,-2.0595,-1.7595,-1.3522,-1.0522,-0.92973,-0.70847,-0.82809,-4.036,-2.0652,-1.5631,-1.3297,-1.0344,-0.82973
607.25,-3.3199,-2.0696,-1.7584,-1.2326,-1.1326,-0.93262,-0.83262,-0.83262,-0.63066,-4.0689,-2.0652,-1.7652,-1.3584,-1.0584,-0.93262,-0.71047,-0.83066,-4.0401,-2.0712,-1.5696,-1.3326,-1.0374,-0.83262
613.25,-3.3237,-2.076,-1.7646,-1.2354,-1.1354,-0.93542,-0.83542,-0.83542,-0.63314,-4.0769,-2.0708,-1.7708,-1.3646,-1.0646,-0.93542,-0.71266,-0.83314,-4.0442,-2.0769,-1.576,-1.3354,-1.0403,-0.83542
619.25,-3.3277,-2.0822,-1.7708,-1.2381,-1.1381,-0.93815,-0.83815,-0.83815,-0.63553,-4.0849,-2.0763,-1.7763,-1.3708,-1.0708,-0.93815,-0.71504,-0.83553,-4.0482,-2.0823,-1.5822,-1.3381,-1.043,-0.83815
625.25,-3.3318,-2.0882,-1.777,-1.2408,-1.1408,-0.94081,-0.84081,-0.84081,-0.63786,-4.0929,-2.0816,-1.7816,-1.377,-1.077,-0.94081,-0.71759,-0.83786,-4.0521,-2.0876,-1.5882,-1.3408,-1.0456,-0.84081
631.25,-3.3361,-2.0942,-1.7832,-1.2434,-1.1434,-0.94342,-0.84342,-0.84342,-0.64015,-4.1008,-2.0868,-1.7868,-1.3832,-1.0832,-0.94342,-0.72032,-0.84015,-4.0559,-2.0927,-1.5942,-1.3434,-1.0481,-0.84342
637.25,-3.3405,-2.1,-1.7893,-1.246,-1.146,-0.94599,-0.84599,-0.84599,-0.6424,-4.1087,-2.092,-1.792,-1.3893,-1.0893,-0.94599,-0.72321,-0.8424,-4.0597,-2.0976,-1.6,-1.346,-1.0506,-0.84599
643.25,-3.3449,-2.1057,-1.7955,-1.2485,-1.1485,-0.94852,-0.84852,-0.84852,-0.64465,-4.1165,-2.097,-1.797,-1.3955,-1.0955,-0.94852,-0.72626,-0.84465,-4.0633,-2.1025,-1.6057,-1.3485,-1.0529,-0.84852
649.25,-3.3494,-2.1114,-1.8017,-1.251,-1.151,-0.95104,-0.85104,-0.85104,-0.64689,-4.1241,-2.1021,-1.8021,-1.4017,-1.1017,-0.95104,-0.72946,-0.84689,-4.0669,-2.1072,-1.6114,-1.351,-1.0552,-0.85104
655.25,-3.3539,-2.1169,-1.8078,-1.2535,-1.1535,-0.95354,-0.85354,-0.85354,-0.64915,-4.1315,-2.1071,-1.8071,-1.4078,-1.1078,-0.95354,-0.7328,-0.84915,-4.0703,-2.1119,-1.6169,-1.3535,-1.0574,-0.85354
661.25,-3.3584,-2.1224,-1.8139,-1.256,-1.156,-0.95604,-0.85604,-0.85604,-0.65145,-4.1387,-2.1121,-1.8121,-1.4139,-1.1139,-0.95604,-0.73629,-0.85145,-4.0736,-2.1165,-1.6224,-1.356,-1.0597,-0.85604
667.25,-3.3628,-2.1277,-1.82,-1.2586,-1.1586,-0.95855,-0.85855,-0.85855,-0.6538,-4.1457,-2.1171,-1.8171,-1.42,-1.12,-0.95855,-0.7399,-0.8538,-4.0767,-2.1212,-1.6277,-1.3586,-1.0619,-0.85855
673.25,-3.3671,-2.1331,-1.8261,-1.2611,-1.1611,-0.96108,-0.86108,-0.86108,-0.65621,-4.1524,-2.1222,-1.8222,-1.4261,-1.1261,-0.96108,-0.74365,-0.85621,-4.0797,-2.1259,-1.6331,-1.3611,-1.0641,-0.86108
679.25,-3.3713,-2.1384,-1.8321,-1.2636,-1.1636,-0.96365,-0.86365,-0.86365,-0.65871,-4.1588,-2.1273,-1.8273,-1.4321,-1.1321,-0.96365,-0.74751,-0.85871,-4.0825,-2.1306,-1.6384,-1.3636,-1.0663,-0.86365
685.25,-3.3753,-2.1436,-1.8381,-1.2663,-1.1663,-0.96626,-0.86626,-0.86626,-0.66131,-4.1649,-2.1325,-1.8325,-1.4381,-1.1381,-0.96626,-0.75149,-0.86131,-4.0852,-2.1354,-1.6436,-1.3663,-1.0686,-0.86626
691.25,-3.3792,-2.1488,-1.8441,-1.2689,-1.1689,-0.96892,-0.86892,-0.86892,-0.66402,-4.1706,-2.1378,-1.8378,-1.4441,-1.1441,-0.96892,-0.75558,-0.86402,-4.0876,-2.1403,-1.6488,-1.3689,-1.0709,-0.86892
697.25,-3.3828,-2.154,-1.85,-1.2716,-1.1716,-0.97164,-0.87164,-0.87164,-0.66686,-4.1758,-2.1433,-1.8433,-1.45,-1.15,-0.97164,-0.75977,-0.86686,-4.0899,-2.1454,-1.654,-1.3716,-1.0733,-0.87164
703.25,-3.3862,-2.1592,-1.8559,-1.2744,-1.1744,-0.97444,-0.87444,-0.87444,-0.66985,-4.1807,-2.1489,-1.8489,-1.4559,-1.1559,-0.97444,-0.76406,-0.86985,-4.092,-2.1506,-1.6592,-1.3744,-1.0758,-0.87444
709.25,-3.3892,-2.1643,-1.8618,-1.2773,-1.1773,-0.97732,-0.87732,-0.87732,-0.67301,-4.1851,-2.1546,-1.8546,-1.4618,-1.1618,-0.97732,-0.76843,-0.87301,-4.0938,-2.156,-1.6643,-1.3773,-1.0784,-0.87732
715.25,-3.392,-2.1695,-1.8676,-1.2803,-1.1803,-0.9803,-0.8803,-0.8803,-0.67634,-4.189,-2.1606,-1.8606,-1.4676,-1.1676,-0.9803,-0.77289,-0.87634,-4.0954,-2.1616,-1.6695,-1.3803,-1.0811,-0.8803
721.25,-3.3944,-2.1747,-1.8733,-1.2834,-1.1834,-0.98339,-0.88339,-0.88339,-0.67987,-4.1923,-2.1668,-1.8668,-1.4733,-1.1733,-0.98339,-0.77742,-0.87987,-4.0968,-2.1675,-1.6747,-1.3834,-1.084,-0.88339
727.25,-3.3964,-2.1799,-1.879,-1.2866,-1.1866,-0.98659,-0.88659,-0.88659,-0.68361,-4.1951,-2.1732,-1.8732,-1.479,-1.179,-0.98659,-0.78202,-0.88361,-4.098,-2.1737,-1.6799,-1.3866,-1.087,-0.88659
733.25,-3.398,-2.1851,-1.8846,-1.2899,-1.1899,-0.98993,-0.88993,-0.88993,-0.68758,-4.1973,-2.1799,-1.8799,-1.4846,-1.1846,-0.98993,-0.78669,-0.88758,-4.0989,-2.1801,-1.6851,-1.3899,-1.0901,-0.88993
739.25,-3.3992,-2.1904,-1.8902,-1.2934,-1.1934,-0.9934,-0.8934,-0.8934,-0.69179,-4.1989,-2.1868,-1.8868,-1.4902,-1.1902,-0.9934,-0.79141,-0.89179,-4.0995,-2.1869,-1.6904,-1.3934,-1.0935,-0.8934
745.25,-3.3998,-2.1957,-1.8957,-1.297,-1.197,-0.99702,-0.89702,-0.89702,-0.69626,-4.1998,-2.194,-1.894,-1.4957,-1.1957,-0.99702,-0.79619,-0.89626,-4.0999,-2.1941,-1.6957,-1.397,-1.097,-0.89702
750,-3.4,-2.2,-1.9,-1.3,-1.2,-1,-0.9,-0.9,-0.7,-4.2,-2.2,-1.9,-1.5,-1.2,-1,-0.8,-0.9,-4.1,-2.2,-1.7,-1.4,-1.1,-0.9
751.25,-3.4,-2.2011,-1.9011,-1.3008,-1.2008,-1.0008,-0.9008,-0.9008,-0.70103,-4.2,-2.2016,-1.9016,-1.5011,-1.2011,-1.0008,-0.80104,-0.90104,-4.1,-2.2016,-1.7011,-1.4008,-1.1008,-0.9008
757.25,-3.4,-2.2063,-1.9063,-1.3047,-1.2048,-1.0047,-0.90469,-0.90469,-0.7066,-4.1989,-2.2095,-1.9096,-1.5064,-1.2065,-1.0048,-0.80682,-0.90682,-4.1,-2.2103,-1.7068,-1.4047,-1.1048,-0.90469
763.25,-3.4,-2.2113,-1.9113,-1.3087,-1.209,-1.0087,-0.90868,-0.90868,-0.71314,-4.1966,-2.2176,-1.9181,-1.5114,-1.2118,-1.009,-0.81384,-0.91384,-4.1,-2.2202,-1.7128,-1.4087,-1.109,-0.90868
769.25,-3.4,-2.216,-1.916,-1.3128,-1.2135,-1.0128,-0.91276,-0.91276,-0.72057,-4.1931,-2.2261,-1.927,-1.5163,-1.2171,-1.0135,-0.82197,-0.92197,-4.1,-2.2311,-1.7191,-1.4128,-1.1135,-0.91276
775.25,-3.4,-2.2205,-1.9205,-1.317,-1.2181,-1.017,-0.91695,-0.91695,-0.7288,-4.1886,-2.2348,-1.9362,-1.5211,-1.2223,-1.0181,-0.83108,-0.93108,-4.1,-2.2429,-1.7256,-1.417,-1.1181,-0.91695
781.25,-3.4,-2.2249,-1.9249,-1.3212,-1.2229,-1.0212,-0.92124,-0.92124,-0.73776,-4.1832,-2.2438,-1.9458,-1.5258,-1.2274,-1.0229,-0.84103,-0.94103,-4.1,-2.2554,-1.7322,-1.4212,-1.1229,-0.92124
787.25,-3.4,-2.2292,-1.9292,-1.3256,-1.2278,-1.0256,-0.92565,-0.92565,-0.74735,-4.1771,-2.2531,-1.9557,-1.5303,-1.2325,-1.0278,-0.85168,-0.95168,-4.1,-2.2685,-1.7389,-1.4256,-1.1278,-0.92565
793.25,-3.4,-2.2334,-1.9334,-1.3302,-1.2329,-1.0302,-0.93016,-0.93016,-0.7575,-4.1704,-2.2625,-1.9658,-1.5348,-1.2376,-1.0329,-0.86292,-0.96292,-4.1,-2.2818,-1.7456,-1.4302,-1.1329,-0.93016
799.25,-3.4,-2.2377,-1.9377,-1.3348,-1.2381,-1.0348,-0.9348,-0.9348,-0.76812,-4.1633,-2.2723,-1.9762,-1.5393,-1.2426,-1.0381,-0.87459,-0.97459,-4.1,-2.2953,-1.7522,-1.4348,-1.1381,-0.9348
