Frequency,MB120,BLE120,FMT902,FMB902,FM332,MB120_Triple
54,31,28,15,26,26,30
55,31.031,28.019,15.03885911,26.03529553,26.01679553,30.03229553
55.25,31.039,28.023,15.04807388,26.04436942,26.02096942,30.04036942
61.25,31.227,28.136,15.27822852,26.25814261,26.12174261,30.22514261
67.25,31.414,28.248,15.50838316,26.47091581,26.22251581,30.39591581
77.25,31.731,28.439,15.89197423,26.83087113,26.38797113,30.64487113
83.25,31.919,28.551,16.12212887,27.04464433,26.48864433,30.77764433
85,31.971,28.583,16.1896323,27.10416151,26.51946151,30.81616151
91.25,32.147,28.687,16.43200172,27.30700859,26.64140859,30.94700859
97.25,32.306,28.7821,16.66615636,27.49178179,26.76938179,31.06678179
102,32.427,28.8546,16.84123711,27.63318557,26.86548557,31.16018557
103.25,32.458,28.8736,16.885311,27.66955498,26.88865498,31.18455498
109.25,32.602,28.9642,17.08146564,27.83932818,26.98862818,31.30332818
115.25,32.742,29.0547,17.27062027,28.00510137,27.08360137,31.42310137
121.25,32.881,29.1449,17.45377491,28.16987457,27.17517457,31.54187457
127.25,33.016,29.2347,17.63192955,28.33064777,27.26354777,31.66164777
133.25,33.15,29.3241,17.80508419,28.49042096,27.34912096,31.78142096
139.25,33.281,29.4128,17.97323883,28.64719416,27.43219416,31.90119416
145.25,33.41,29.5008,18.13839347,28.80196735,27.51296735,32.01996735
151.25,33.537,29.5879,18.29954811,28.95474055,27.59174055,32.13834055
157.25,33.662,29.6741,18.45770275,29.10551375,27.66891375,32.25641375
163.25,33.786,29.7593,18.61285739,29.25528694,27.74458694,32.37378694
169.25,33.908,29.8432,18.76601203,29.40306014,27.81916014,32.49036014
175.25,34.03,29.9258,18.91716667,29.55083333,27.89303333,32.60613333
181.25,34.15,30.007,19.06632131,29.69660653,27.96630653,32.72080653
187.25,34.27,30.0867,19.21547595,29.84237973,28.03927973,32.83437973
193.25,34.388,30.1647,19.36363058,29.98615292,28.11235292,32.94665292
199.25,34.507,30.241,19.51178522,30.13092612,28.18582612,33.05752612
205.25,34.625,30.3153,19.65993986,30.27469931,28.25979931,33.16699931
211.25,34.742,30.3878,19.8070945,30.41747251,28.33317251,33.27547251
217.25,34.858,30.4586,19.95124914,30.5592457,28.4054457,33.3831457
223.25,34.974,30.5276,20.09440378,30.7010189,28.4766189,33.4898189
229.25,35.087,30.5952,20.23455842,30.8397921,28.5469921,33.5951921
235.25,35.199,30.6612,20.37271306,30.97756529,28.61666529,33.69906529
241.25,35.309,30.7259,20.5088677,31.11333849,28.68563849,33.80133849
247.25,35.416,30.7893,20.64202234,31.24611168,28.75421168,33.90171168
253.25,35.52,30.8515,20.77317698,31.37588488,28.82248488,34.00008488
254,35.533,30.8592,20.78982131,31.39210653,28.83090653,34.01220653
259.25,35.621,30.9127,20.90233162,31.50265808,28.89045808,34.09615808
265.25,35.72,30.9732,21.02948625,31.62743127,28.95853127,34.19113127
271.25,35.818,31.0333,21.15564089,31.75120447,29.02680447,34.28570447
277.25,35.916,31.0929,21.28179553,31.87497766,29.09517766,34.37967766
283.25,36.012,31.1521,21.40695017,31.99675086,29.16375086,34.47325086
289.25,36.107,31.2108,21.53110481,32.11752405,29.23242405,34.56632405
295.25,36.202,31.2692,21.65425945,32.23829725,29.30109725,34.65889725
301.25,36.295,31.3271,21.77741409,32.35707045,29.36987045,34.75097045
307.25,36.388,31.3847,21.89956873,32.47584364,29.43874364,34.84264364
313.25,36.48,31.4419,22.02072337,32.59361684,29.50761684,34.93381684
319.25,36.571,31.4986,22.14187801,32.71039003,29.57649003,35.02459003
325.25,36.661,31.5551,22.26203265,32.82616323,29.64536323,35.11486323
331.25,36.751,31.6111,22.38118729,32.94193643,29.71413643,35.20473643
337.25,36.84,31.6669,22.50034192,33.05670962,29.78290962,35.29410962
343.25,36.928,31.7222,22.61849656,33.17048282,29.85168282,35.38308282
349.25,37.016,31.7773,22.7366512,33.28425601,29.92025601,35.47165601
355.25,37.103,31.832,22.85380584,33.39702921,29.98882921,35.55982921
361.25,37.189,31.8865,22.96996048,33.50880241,30.05720241,35.64760241
367.25,37.275,31.9406,23.08611512,33.6205756,30.1253756,35.7348756
373.25,37.361,31.9945,23.20126976,33.7323488,30.1934488,35.8218488
379.25,37.446,32.0481,23.3164244,33.84312199,30.26132199,35.90842199
385.25,37.53,32.1014,23.43157904,33.95289519,30.32899519,35.99459519
391.25,37.615,32.1545,23.54473368,34.06366838,30.39646838,36.08036838
397.25,37.698,32.2073,23.65888832,34.17244158,30.46364158,36.16574158
403.25,37.7818,32.2599,23.77104296,34.28201478,30.53061478,36.25071478
409.25,37.865,32.3122,23.88419759,34.39098797,30.59718797,36.33538797
415.25,37.9478,32.3644,23.99635223,34.49956117,30.66356117,36.41966117
421.25,38.0304,32.4163,24.10750687,34.60793436,30.72953436,36.50363436
427.25,38.1127,32.468,24.21866151,34.71600756,30.79520756,36.58720756
433.25,38.1949,32.5196,24.32981615,34.82398076,30.86048076,36.67048076
439.25,38.2769,32.571,24.43997079,34.93175395,30.92545395,36.75345395
445.25,38.3588,32.6222,24.55012543,35.03942715,30.98992715,36.83602715
450,38.4235,32.6626,24.63720619,35.12453093,31.04073093,36.90113093
451.25,38.4406,32.6732,24.66028007,35.14700034,31.05400034,36.91830034
457.25,38.5223,32.7241,24.76943471,35.25447354,31.11767354,37.00017354
463.25,38.6039,32.7749,24.87858935,35.36184674,31.18084674,37.08184674
469.25,38.6856,32.8256,24.98674399,35.46931993,31.24351993,37.16321993
475.25,38.7673,32.8761,25.09589863,35.57679313,31.30579313,37.24419313
481.25,38.8491,32.9265,25.20405326,35.68436632,31.36746632,37.32496632
487.25,38.9309,32.9769,25.3112079,35.79193952,31.42853952,37.40533952
493.25,39.0129,33.0271,25.41936254,35.89971271,31.48911271,37.48551271
499.25,39.095,33.0773,25.52651718,36.00758591,31.54908591,37.56538591
505.25,39.1773,33.1274,25.63367182,36.11565911,31.60855911,37.64495911
511.25,39.2598,33.1774,25.74082646,36.2239323,31.6672323,37.7243323
517.25,39.3426,33.2274,25.8469811,36.3325055,31.7254055,37.8034055
523.25,39.4256,33.2774,25.95313574,36.44127869,31.78287869,37.88217869
529.25,39.509,33.3273,26.05929038,36.55045189,31.83965189,37.96075189
535.25,39.5926,33.3773,26.16584502,36.65982509,31.89572509,38.03902509
541.25,39.6767,33.4272,26.27179966,36.76969828,31.95119828,38.11709828
547.25,39.7612,33.4771,26.3776543,36.87997148,32.00577148,38.19497148
550,39.8,33.5,26.42611684,36.93058419,32.03058419,38.23058419
553.25,39.8461,33.5269,26.48310893,36.99064467,32.05934467,38.27234467
559.25,39.9319,33.576,26.58676357,37.10221787,32.11041787,38.34821787
565.25,40.018,33.6244,26.68881821,37.21409107,32.15959107,38.42279107
571.25,40.1041,33.6723,26.78967285,37.32596426,32.20756426,38.49636426
577.25,40.1896,33.7198,26.88982749,37.43723746,32.25513746,38.56923746
583.25,40.274,33.7672,26.98948213,37.54741065,32.30311065,38.64181065
589.25,40.3569,33.8146,27.08923677,37.65608385,32.35218385,38.71438385
595.25,40.4377,33.8621,27.18929141,37.76265704,32.40315704,38.78725704
601.25,40.5161,33.91,27.29014605,37.86683024,32.45683024,38.86073024
607.25,40.5923,33.9584,27.39220069,37.96880344,32.51410344,38.93450344
613.25,40.6668,34.0072,27.49495533,38.06907663,32.57447663,39.00827663
619.25,40.7398,34.0562,27.59800997,38.16784983,32.63704983,39.08204983
625.25,40.8117,34.105,27.7007646,38.26552302,32.70102302,39.15582302
631.25,40.8825,34.1535,27.80291924,38.36209622,32.76539622,39.22959622
637.25,40.9525,34.2014,27.90387388,38.45786942,32.82946942,39.30336942
643.25,41.0221,34.2484,28.00302852,38.55324261,32.89214261,39.37714261
649.25,41.0913,34.2943,28.10008316,38.64821581,32.95271581,39.45091581
655.25,41.1603,34.3393,28.1949378,38.742989,33.011389,39.524789
661.25,41.2286,34.3836,28.28839244,38.8370622,33.0692622,39.5987622
667.25,41.2963,34.4273,28.38044708,38.9305354,33.1265354,39.6728354
673.25,41.3634,34.4706,28.47150172,39.02340859,33.18320859,39.74700859
679.25,41.4301,34.5134,28.56145636,39.11588179,33.23948179,39.82128179
685.25,41.4963,34.5558,28.650611,39.20785498,33.29535498,39.89555498
691.25,41.5622,34.5978,28.73906564,39.29952818,33.35082818,39.96982818
697.25,41.6277,34.6396,28.82692027,39.39080137,33.40610137,40.04400137
703.25,41.693,34.681,28.91437491,39.48187457,33.46107457,40.11817457
709.25,41.7582,34.7223,29.00152955,39.57284777,33.51594777,40.19224777
715.25,41.8232,34.7633,29.08858419,39.66362096,33.57072096,40.26612096
721.25,41.8881,34.8042,29.17573883,39.75429416,33.62549416,40.33989416
727.25,41.953,34.8451,29.26299347,39.84496735,33.68026735,40.41336735
733.25,42.0179,34.8859,29.35054811,39.93564055,33.73514055,40.48664055
739.25,42.083,34.9267,29.43860275,40.02651375,33.79031375,40.55961375
745.25,42.1482,34.9676,29.52725739,40.11748694,33.84568694,40.63238694
750,42.2,35,29.59793814,40.18969072,33.88969072,40.68969072
751.25,42.2136,35.0085,29.61661203,40.20866014,33.90136014,40.70476014
757.25,42.2791,35.0494,29.70656667,40.29993333,33.95713333,40.77683333
763.25,42.3446,35.09,29.79702131,40.39120653,34.01320653,40.84850653
769.25,42.41,35.1304,29.88777595,40.48237973,34.06927973,40.92007973
775.25,42.4754,35.1707,29.97873058,40.57355292,34.12535292,40.99125292
781.25,42.5407,35.2108,30.06998522,40.66462612,34.18162612,41.06232612
787.25,42.606,35.2507,30.16143986,40.75569931,34.23779931,41.13319931
793.25,42.6712,35.2906,30.2528945,40.84667251,34.29407251,41.20387251
799.25,42.7363,35.3303,30.34434914,40.9375457,34.3502457,41.2744457
805.25,42.8015,35.37,30.43580378,41.0285189,34.4065189,41.3449189
811.25,42.8665,35.4097,30.52715842,41.1192921,34.4625921,41.4152921
817.25,42.9315,35.4493,30.61831306,41.21006529,34.51866529,41.48556529
823.25,42.9965,35.4889,30.7091677,41.30083849,34.57463849,41.55583849
829.25,43.0613,35.5286,30.79972234,41.39141168,34.63051168,41.62611168
835.25,43.1261,35.5682,30.88987698,41.48198488,34.68628488,41.69638488
841.25,43.1909,35.608,30.97963162,41.57255808,34.74175808,41.76675808
847.25,43.2555,35.6478,31.06878625,41.66293127,34.79723127,41.83713127
853.25,43.3201,35.6878,31.15744089,41.75330447,34.85240447,41.90760447
859.25,43.3846,35.7278,31.24539553,41.84357766,34.90727766,41.97827766
860,43.3927,35.7328,31.25633986,41.85489931,34.91419931,41.98709931
865.25,43.4491,35.768,31.33255017,41.93385086,34.96205086,42.04905086
870,43.5,35.8,31.40103093,42.00515464,35.00515464,42.10515464
871.25,43.5134,35.8084,31.41900481,42.02392405,35.01652405,42.11992405
877.25,43.5777,35.8491,31.50475945,42.11399725,35.07079725,42.19129725
883.25,43.642,35.89,31.59011409,42.20407045,35.12497045,42.26307045
889.25,43.7063,35.9311,31.67506873,42.29414364,35.17904364,42.33514364
895.25,43.7705,35.9724,31.75952337,42.38411684,35.23301684,42.40751684
901.25,43.8347,36.0138,31.84357801,42.47409003,35.28689003,42.48019003
907.25,43.8989,36.0554,31.92733265,42.56406323,35.34066323,42.55296323
913.25,43.963,36.097,32.01058729,42.65393643,35.39423643,42.62583643
919.25,44.027,36.1387,32.09364192,42.74370962,35.44780962,42.69870962
925.25,44.091,36.1804,32.17629656,42.83348282,35.50118282,42.77158282
931.25,44.1549,36.2221,32.2586512,42.92315601,35.55445601,42.84435601
937.25,44.2187,36.2637,32.34070584,43.01272921,35.60752921,42.91692921
943.25,44.2824,36.3052,32.42256048,43.10220241,35.66060241,42.98930241
949.25,44.3461,36.3467,32.50411512,43.1916756,35.7134756,43.0613756
955.25,44.4096,36.3879,32.58546976,43.2809488,35.7661488,43.1331488
961.25,44.473,36.429,32.6666244,43.37012199,35.81882199,43.20442199
967.25,44.5363,36.4698,32.74767904,43.45919519,35.87129519,43.27519519
973.25,44.5994,36.5103,32.82853368,43.54806838,35.92356838,43.34546838
979.25,44.6624,36.5506,32.90918832,43.63684158,35.97574158,43.41504158
985.25,44.7253,36.5905,32.98984296,43.72551478,36.02771478,43.48391478
991.25,44.788,36.6301,33.07029759,43.81398797,36.07958797,43.55208797
997.25,44.8506,36.6693,33.15075223,43.90236117,36.13136117,43.61946117
1000,44.8792,36.6871,33.18761478,43.94277388,36.15497388,43.65007388
1003.25,44.913,36.708,33.23120687,43.99053436,36.18293436,43.68593436
1009.25,44.9754,36.7464,33.31136151,44.07870756,36.23410756,43.75140756
1015.25,45.0378,36.7844,33.39121615,44.16688076,36.28508076,43.81578076
1021.25,45.1001,36.822,33.47087079,44.25495395,36.33575395,43.87945395
1027.25,45.1624,36.8594,33.55032543,44.34302715,36.38622715,43.94232715
1033.25,45.2246,36.8965,33.62948007,44.43100034,36.43650034,44.00460034
1039.25,45.2867,36.9334,33.70843471,44.51887354,36.48657354,44.06637354
1045.25,45.3486,36.97,33.78718935,44.60654674,36.53654674,44.12784674
1051.25,45.4103,37.0065,33.86564399,44.69401993,36.58631993,44.18901993
1057.25,45.4718,37.0428,33.94409863,44.78129313,36.63619313,44.25009313
1063.25,45.533,37.079,34.02225326,44.86826632,36.68596632,44.31126632
1069.25,45.5939,37.1152,34.1003079,44.95493952,36.73583952,44.37243952
1075.25,45.6545,37.1512,34.17826254,45.04131271,36.78571271,44.43401271
1081.25,45.7147,37.1873,34.25611718,45.12728591,36.83578591,44.49588591
1087.25,45.7745,37.2233,34.33377182,45.21285911,36.88585911,44.55825911
1093.25,45.8338,37.2594,34.41142646,45.2979323,36.9362323,44.6213323
1099.25,45.8927,37.2955,34.4889811,45.3826055,36.9868055,44.6851055
1105.25,45.9511,37.3316,34.56643574,45.46677869,37.03747869,44.74947869
1111.25,46.0093,37.3677,34.64379038,45.55075189,37.08825189,44.81415189
1117.25,46.0673,37.4038,34.72094502,45.63452509,37.13912509,44.87892509
1123.25,46.125,37.4398,34.79809966,45.71799828,37.18999828,44.94399828
1129.25,46.1825,37.4757,34.8751543,45.80127148,37.24087148,45.00927148
1135.25,46.2397,37.5116,34.95200893,45.88424467,37.29184467,45.07474467
1141.25,46.2966,37.5474,35.02876357,45.96691787,37.34291787,45.14041787
1147.25,46.3533,37.5831,35.10541821,46.04939107,37.39399107,45.20629107
1153.25,46.4097,37.6188,35.18197285,46.13156426,37.44506426,45.27246426
1159.25,46.4659,37.6544,35.25842749,46.21353746,37.49623746,45.33883746
1165.25,46.5217,37.69,35.33468213,46.29511065,37.54746065,45.40531065
1171.25,46.5773,37.72552,35.41083677,46.37648385,37.59872385,45.47218385
1177.25,46.6325,37.76097,35.48689141,46.45745704,37.65004704,45.53913704
1183.25,46.6875,37.79635,35.56284605,46.53823024,37.70142024,45.60636024
1189.25,46.74222,37.83167,35.63860069,46.61872344,37.75285344,45.67380344
1195.25,46.79661,37.86692,35.71430533,46.69888663,37.80432663,45.74145663
1201.25,46.85069,37.90211,35.78983997,46.77873983,37.85585983,45.80933983
1207.25,46.90445,37.93724,35.8652446,46.85827302,37.90744302,45.87743302
1213.25,46.95791,37.97229,35.94050924,46.93750622,37.95908622,45.94575622
1218,47,38,36,47,38,46
